date,location,hits
2012-03-11,Rhode Island,NA
2012-03-11,South Dakota,NA
2012-03-11,Utah,NA
2012-03-11,Vermont,NA
2012-03-11,Wisconsin,NA
2012-03-11,West Virginia,NA
2012-03-11,Wyoming,NA
2012-03-12,Montana,100
2012-03-12,West Virginia,68
2012-03-12,Idaho,58
2012-03-12,Nebraska,46
2012-03-12,Mississippi,46
2012-03-12,Connecticut,44
2012-03-12,Washington,43
2012-03-12,Kansas,36
2012-03-12,Oregon,34
2012-03-12,Alabama,32
2012-03-12,Wisconsin,30
2012-03-12,Nevada,28
2012-03-12,Oklahoma,28
2012-03-12,Pennsylvania,27
2012-03-12,Michigan,27
2012-03-12,Tennessee,27
2012-03-12,Utah,26
2012-03-12,New Jersey,26
2012-03-12,Maryland,26
2012-03-12,Ohio,25
2012-03-12,Arizona,25
2012-03-12,Kentucky,23
2012-03-12,Colorado,23
2012-03-12,Illinois,22
2012-03-12,South Carolina,19
2012-03-12,California,19
2012-03-12,New York,19
2012-03-12,Texas,16
2012-03-12,Minnesota,15
2012-03-12,Missouri,15
2012-03-12,Massachusetts,15
2012-03-12,Indiana,15
2012-03-12,Georgia,11
2012-03-12,Virginia,9
2012-03-12,North Carolina,8
2012-03-12,Florida,7
2012-03-12,Alaska,NA
2012-03-12,Arkansas,NA
2012-03-12,District of Columbia,NA
2012-03-12,Delaware,NA
2012-03-12,Hawaii,NA
2012-03-12,Iowa,NA
2012-03-12,Louisiana,NA
2012-03-12,Maine,NA
2012-03-12,North Dakota,NA
2012-03-12,New Hampshire,NA
2012-03-12,New Mexico,NA
2012-03-12,Rhode Island,NA
2012-03-12,South Dakota,NA
2012-03-12,Vermont,NA
2012-03-12,Wyoming,NA
2012-03-13,Delaware,100
2012-03-13,Rhode Island,77
2012-03-13,Montana,67
2012-03-13,Hawaii,44
2012-03-13,Nevada,38
2012-03-13,Connecticut,26
2012-03-13,Kansas,25
2012-03-13,Washington,25
2012-03-13,Massachusetts,23
2012-03-13,Iowa,22
2012-03-13,Colorado,22
2012-03-13,Maryland,21
2012-03-13,Wisconsin,21
2012-03-13,Indiana,20
2012-03-13,Oklahoma,19
2012-03-13,Utah,18
2012-03-13,California,18
2012-03-13,Missouri,18
2012-03-13,Michigan,17
2012-03-13,Minnesota,16
2012-03-13,Louisiana,16
2012-03-13,New Jersey,16
2012-03-13,Pennsylvania,16
2012-03-13,Kentucky,16
2012-03-13,Alabama,15
2012-03-13,Ohio,14
2012-03-13,Tennessee,14
2012-03-13,New York,14
2012-03-13,Illinois,14
2012-03-13,Oregon,14
2012-03-13,South Carolina,13
2012-03-13,Florida,11
2012-03-13,Georgia,10
2012-03-13,Texas,9
2012-03-13,Arizona,8
2012-03-13,North Carolina,7
2012-03-13,Virginia,6
2012-03-13,Alaska,NA
2012-03-13,Arkansas,NA
2012-03-13,District of Columbia,NA
2012-03-13,Idaho,NA
2012-03-13,Maine,NA
2012-03-13,Mississippi,NA
2012-03-13,North Dakota,NA
2012-03-13,Nebraska,NA
2012-03-13,New Hampshire,NA
2012-03-13,New Mexico,NA
2012-03-13,South Dakota,NA
2012-03-13,Vermont,NA
2012-03-13,West Virginia,NA
2012-03-13,Wyoming,NA
2012-03-14,Vermont,100
2012-03-14,Delaware,50
2012-03-14,New Hampshire,44
2012-03-14,Nevada,35
2012-03-14,Connecticut,29
2012-03-14,Rhode Island,27
2012-03-14,Ohio,22
2012-03-14,New Mexico,16
2012-03-14,Illinois,14
2012-03-14,Massachusetts,14
2012-03-14,Arkansas,13
2012-03-14,Colorado,12
2012-03-14,Minnesota,11
2012-03-14,Michigan,11
2012-03-14,California,11
2012-03-14,New York,10
2012-03-14,Oklahoma,10
2012-03-14,Utah,10
2012-03-14,Oregon,9
2012-03-14,Pennsylvania,9
2012-03-14,Louisiana,8
2012-03-14,New Jersey,8
2012-03-14,Kentucky,8
2012-03-14,Alabama,8
2012-03-14,Wisconsin,7
2012-03-14,South Carolina,7
2012-03-14,Washington,6
2012-03-14,North Carolina,6
2012-03-14,Missouri,5
2012-03-14,Indiana,5
2012-03-14,Tennessee,5
2012-03-14,Maryland,5
2012-03-14,Florida,4
2012-03-14,Arizona,4
2012-03-14,Georgia,4
2012-03-14,Virginia,3
2012-03-14,Texas,3
2012-03-14,Alaska,NA
